time,open,high,low,close,tick_volume
2020-02-27 00:00:00+00:00,1643.507,1660.254,1635.286,1645.695,98678
2020-02-28 00:00:00+00:00,1645.667,1648.052,1562.889,1586.023,130833
2020-03-01 00:00:00+00:00,1582.112,1588.335,1575.451,1584.992,4753
2020-03-02 00:00:00+00:00,1584.922,1610.863,1581.675,1591.957,103082
2020-03-03 00:00:00+00:00,1591.903,1652.804,1589.641,1645.697,110332
2020-03-04 00:00:00+00:00,1645.687,1649.283,1631.719,1636.644,86947
2020-03-05 00:00:00+00:00,1636.576,1674.86,1635.574,1674.536,79386
2020-03-06 00:00:00+00:00,1674.495,1691.979,1642.218,1674.32,136886
2020-03-08 00:00:00+00:00,1696.28,1703.179,1679.712,1700.043,12185
2020-03-09 00:00:00+00:00,1700.049,1702.965,1657.45,1666.506,155214
2020-03-10 00:00:00+00:00,1666.535,1671.382,1641.572,1652.331,122479
2020-03-11 00:00:00+00:00,1652.318,1671.183,1633.07,1643.612,102451
2020-03-12 00:00:00+00:00,1643.655,1650.253,1560.721,1576.856,175118
2020-03-13 00:00:00+00:00,1576.861,1597.735,1504.669,1529.245,186921
2020-03-15 00:00:00+00:00,1551.879,1575.37,1540.122,1557.51,20015
2020-03-16 00:00:00+00:00,1557.594,1560.771,1451.281,1507.227,242853
2020-03-17 00:00:00+00:00,1507.234,1553.769,1465.592,1537.77,190988
2020-03-18 00:00:00+00:00,1537.79,1539.831,1472.753,1498.045,213582
2020-03-19 00:00:00+00:00,1498.087,1498.644,1455.292,1471.367,166323
2020-03-20 00:00:00+00:00,1471.35,1515.982,1471.017,1498.718,130889
2020-03-22 00:00:00+00:00,1503.099,1507.935,1482.773,1491.601,12440
2020-03-23 00:00:00+00:00,1491.591,1567.641,1485.073,1567.125,141811
2020-03-24 00:00:00+00:00,1567.119,1636.988,1558.059,1629.148,83609
2020-03-25 00:00:00+00:00,1628.485,1631.432,1596.185,1607.418,54654
2020-03-26 00:00:00+00:00,1607.758,1641.8,1593.913,1624.864,50233
2020-03-27 00:00:00+00:00,1625.069,1628.856,1611.31,1622.911,46500
2020-03-29 00:00:00+00:00,1625.946,1630.463,1616.408,1627.402,3820
2020-03-30 00:00:00+00:00,1627.07,1628.197,1610.471,1616.282,50960
2020-03-31 00:00:00+00:00,1616.122,1618.266,1569.183,1578.851,60095
2020-04-01 00:00:00+00:00,1578.95,1598.554,1571.348,1590.982,57011
2020-04-02 00:00:00+00:00,1591.25,1618.812,1581.922,1612.393,64635
2020-04-03 00:00:00+00:00,1612.393,1624.359,1605.667,1615.567,60102
2020-04-05 00:00:00+00:00,1614.34,1618.872,1607.546,1618.872,3001
2020-04-06 00:00:00+00:00,1618.7,1671.195,1614.971,1661.375,64215
2020-04-07 00:00:00+00:00,1661.333,1666.946,1641.89,1648.142,59284
2020-04-08 00:00:00+00:00,1648.153,1655.344,1641.045,1647.133,50832
2020-04-09 00:00:00+00:00,1647.127,1689.431,1645.841,1682.944,71422
2020-04-12 00:00:00+00:00,1684.546,1691.291,1683.195,1686.821,2905
2020-04-13 00:00:00+00:00,1686.627,1722.211,1679.798,1717.28,73313
2020-04-14 00:00:00+00:00,1717.163,1746.579,1708.479,1725.543,88951
2020-04-15 00:00:00+00:00,1725.542,1730.654,1707.411,1715.654,86746
2020-04-16 00:00:00+00:00,1715.828,1738.091,1701.989,1715.15,112909
2020-04-17 00:00:00+00:00,1715.137,1717.949,1679.135,1683.655,110070
2020-04-19 00:00:00+00:00,1682.92,1683.235,1673.878,1675.506,4868
2020-04-20 00:00:00+00:00,1675.538,1701.963,1671.277,1690.808,101229
2020-04-21 00:00:00+00:00,1690.812,1697.277,1660.127,1687.417,102667
2020-04-22 00:00:00+00:00,1687.625,1718.218,1679.53,1711.447,115742
2020-04-23 00:00:00+00:00,1711.452,1738.308,1705.969,1727.918,137656
2020-04-24 00:00:00+00:00,1727.925,1736.069,1710.08,1727.93,109819
2020-04-26 00:00:00+00:00,1721.139,1725.615,1718.583,1724.978,4682
2020-04-27 00:00:00+00:00,1724.975,1726.275,1705.618,1709.572,98900
2020-04-28 00:00:00+00:00,1709.351,1713.601,1691.429,1704.711,128272
2020-04-29 00:00:00+00:00,1704.444,1716.769,1697.46,1713.271,106038
2020-04-30 00:00:00+00:00,1713.13,1721.174,1680.724,1687.709,97646
2020-05-01 00:00:00+00:00,1687.443,1705.106,1670.131,1700.028,129372
2020-05-03 00:00:00+00:00,1698.438,1699.649,1691.575,1699.269,5046
2020-05-04 00:00:00+00:00,1699.123,1711.163,1694.678,1703.549,95850
2020-05-05 00:00:00+00:00,1703.562,1711.345,1691.198,1703.8,92857
2020-05-06 00:00:00+00:00,1703.838,1707.818,1681.89,1689.582,88102
2020-05-07 00:00:00+00:00,1689.678,1721.793,1684.097,1714.229,85721
2020-05-08 00:00:00+00:00,1714.234,1722.819,1701.296,1702.329,87645
2020-05-10 00:00:00+00:00,1702.39,1707.454,1701.274,1706.479,5617
2020-05-11 00:00:00+00:00,1706.472,1712.031,1686.864,1697.759,86561
2020-05-12 00:00:00+00:00,1697.721,1710.515,1693.297,1702.424,80916
2020-05-13 00:00:00+00:00,1702.351,1719.371,1698.868,1718.317,90958
2020-05-14 00:00:00+00:00,1718.287,1736.004,1710.464,1732.716,84145
2020-05-15 00:00:00+00:00,1732.708,1750.93,1728.336,1741.974,86128
2020-05-17 00:00:00+00:00,1747.558,1759.776,1743.217,1758.137,8901
2020-05-18 00:00:00+00:00,1758.06,1764.715,1726.823,1734.704,89739
2020-05-19 00:00:00+00:00,1734.711,1747.382,1725.316,1745.97,84547
2020-05-20 00:00:00+00:00,1745.978,1753.684,1742.035,1747.365,81280
2020-05-21 00:00:00+00:00,1747.47,1747.47,1716.751,1725.824,83833
2020-05-22 00:00:00+00:00,1725.953,1739.314,1724.152,1734.06,72211
2020-05-24 00:00:00+00:00,1731.241,1733.303,1729.697,1730.676,3110
2020-05-25 00:00:00+00:00,1730.682,1732.456,1720.967,1726.56,45997
2020-05-26 00:00:00+00:00,1726.542,1735.055,1708.228,1712.678,78481
2020-05-27 00:00:00+00:00,1712.658,1715.746,1693.423,1710.852,80885
2020-05-28 00:00:00+00:00,1710.856,1727.014,1708.767,1721.686,80001
2020-05-29 00:00:00+00:00,1721.66,1737.277,1712.361,1729.475,84149
2020-05-31 00:00:00+00:00,1734.657,1740.011,1731.393,1739.611,5348
2020-06-01 00:00:00+00:00,1739.507,1744.323,1726.744,1741.504,85220
2020-06-02 00:00:00+00:00,1741.58,1744.836,1721.363,1726.591,85191
2020-06-03 00:00:00+00:00,1726.58,1729.312,1689.147,1700.516,97516
2020-06-04 00:00:00+00:00,1700.402,1721.22,1696.548,1712.394,90855
2020-06-05 00:00:00+00:00,1712.41,1715.794,1670.51,1685.512,103971
2020-06-07 00:00:00+00:00,1680.835,1682.98,1677.301,1681.323,4523
2020-06-08 00:00:00+00:00,1681.327,1700.46,1680.698,1697.243,89279
2020-06-09 00:00:00+00:00,1697.238,1720.669,1691.911,1713.099,87625
2020-06-10 00:00:00+00:00,1713.143,1739.586,1707.819,1735.483,93023
2020-06-11 00:00:00+00:00,1735.522,1744.536,1721.451,1726.573,91057
2020-06-12 00:00:00+00:00,1726.524,1742.82,1721.69,1730.552,81008
2020-06-14 00:00:00+00:00,1730.629,1733.37,1729.536,1732.553,3962
2020-06-15 00:00:00+00:00,1732.499,1733.879,1703.902,1724.066,91716
2020-06-16 00:00:00+00:00,1724.084,1732.606,1716.455,1726.328,88241
2020-06-17 00:00:00+00:00,1726.328,1730.079,1712.327,1727.483,78107
2020-06-18 00:00:00+00:00,1727.536,1736.909,1717.376,1723.432,86551
2020-06-19 00:00:00+00:00,1723.433,1745.142,1722.353,1743.537,82390
2020-06-21 00:00:00+00:00,1747.082,1749.969,1743.864,1749.125,5407
2020-06-22 00:00:00+00:00,1749.088,1762.99,1742.326,1755.265,93388
2020-06-23 00:00:00+00:00,1755.303,1770.887,1747.356,1768.606,98295
2020-06-24 00:00:00+00:00,1768.563,1779.247,1754.347,1762.084,99662
2020-06-25 00:00:00+00:00,1762.071,1768.808,1755.362,1765.644,85371
2020-06-26 00:00:00+00:00,1765.647,1771.841,1747.25,1771.28,81713
2020-06-28 00:00:00+00:00,1770.599,1775.047,1769.991,1771.212,4592
2020-06-29 00:00:00+00:00,1771.293,1774.752,1765.607,1772.865,78704
2020-06-30 00:00:00+00:00,1772.864,1785.729,1764.12,1782.721,80823
2020-07-01 00:00:00+00:00,1782.729,1789.089,1759.142,1768.221,88416
2020-07-02 00:00:00+00:00,1768.223,1779.439,1757.464,1775.646,82321
2020-07-03 00:00:00+00:00,1775.599,1777.034,1772.377,1775.703,44696
2020-07-05 00:00:00+00:00,1773.537,1775.963,1773.263,1775.327,2819
2020-07-06 00:00:00+00:00,1775.252,1786.933,1769.855,1785.747,82277
2020-07-07 00:00:00+00:00,1785.785,1797.243,1773.385,1794.333,81022
2020-07-08 00:00:00+00:00,1794.315,1817.833,1791.401,1809.054,78449
2020-07-09 00:00:00+00:00,1809.051,1815.792,1795.289,1803.825,85946
2020-07-10 00:00:00+00:00,1803.829,1810.344,1794.025,1798.621,74484
2020-07-12 00:00:00+00:00,1799.343,1801.095,1797.908,1800.013,3404
2020-07-13 00:00:00+00:00,1799.994,1813.303,1799.771,1802.27,81819
2020-07-14 00:00:00+00:00,1802.282,1810.786,1790.404,1809.434,89401
2020-07-15 00:00:00+00:00,1809.412,1814.553,1802.364,1813.023,74772
2020-07-16 00:00:00+00:00,1813.025,1813.223,1794.869,1798.28,73676
2020-07-17 00:00:00+00:00,1798.282,1811.75,1795.73,1809.765,62092
2020-07-19 00:00:00+00:00,1808.109,1810.619,1807.808,1808.998,3049
2020-07-20 00:00:00+00:00,1808.969,1820.348,1805.658,1817.921,69566
2020-07-21 00:00:00+00:00,1817.913,1847.042,1815.563,1842.981,84559
2020-07-22 00:00:00+00:00,1842.947,1874.261,1842.306,1869.876,113312
2020-07-23 00:00:00+00:00,1869.872,1898.19,1863.526,1885.395,110417
2020-07-24 00:00:00+00:00,1885.396,1906.4,1880.996,1901.143,88411
2020-07-26 00:00:00+00:00,1902.646,1914.58,1902.646,1913.493,7344
2020-07-27 00:00:00+00:00,1913.495,1966.211,1912.295,1964.98,118781
2020-07-28 00:00:00+00:00,1964.873,1980.652,1906.579,1956.072,145260
2020-07-29 00:00:00+00:00,1956.072,1980.601,1941.314,1966.483,112992
2020-07-30 00:00:00+00:00,1966.487,1970.332,1938.975,1956.91,117775
2020-07-31 00:00:00+00:00,1956.926,1982.318,1955.863,1974.958,114787
2020-08-02 00:00:00+00:00,1982.988,1984.734,1977.002,1981.738,7693
2020-08-03 00:00:00+00:00,1981.698,1982.133,1960.418,1975.265,90063
2020-08-04 00:00:00+00:00,1975.174,2030.712,1967.369,2030.712,101940
2020-08-05 00:00:00+00:00,2030.64,2055.403,2009.131,2036.29,128525
2020-08-06 00:00:00+00:00,2036.338,2073.682,2034.336,2069.007,124983
2020-08-07 00:00:00+00:00,2069.1,2071.992,2015.465,2034.818,153841
2020-08-09 00:00:00+00:00,2026.671,2030.778,2018.676,2027.12,7583
2020-08-10 00:00:00+00:00,2027.119,2049.797,2019.265,2028.128,121431
2020-08-11 00:00:00+00:00,2028.129,2028.129,1901.422,1909.025,213203
2020-08-12 00:00:00+00:00,1908.997,1949.171,1863.593,1921.874,214392
2020-08-13 00:00:00+00:00,1921.844,1966.192,1919.895,1957.332,157498
2020-08-14 00:00:00+00:00,1957.304,1961.402,1931.973,1944.376,134341
2020-08-16 00:00:00+00:00,1944.835,1951.221,1931.853,1932.534,6366
2020-08-17 00:00:00+00:00,1932.533,1990.594,1929.205,1983.634,125342
2020-08-18 00:00:00+00:00,1983.647,2015.39,1975.958,2005.186,141901
2020-08-19 00:00:00+00:00,2005.155,2005.869,1924.638,1927.748,171161
2020-08-20 00:00:00+00:00,1927.717,1955.078,1924.085,1952.707,160309
2020-08-21 00:00:00+00:00,1952.789,1955.744,1911.464,1940.113,141278
2020-08-23 00:00:00+00:00,1936.426,1938.261,1929.819,1935.019,5598
2020-08-24 00:00:00+00:00,1935.006,1961.712,1923.666,1929.749,117271
2020-08-25 00:00:00+00:00,1929.699,1937.326,1914.211,1929.596,115242
2020-08-26 00:00:00+00:00,1929.564,1954.68,1902.613,1953.415,121151
2020-08-27 00:00:00+00:00,1953.414,1976.439,1909.707,1928.053,147853
2020-08-28 00:00:00+00:00,1927.921,1973.742,1922.773,1964.591,110684
2020-08-30 00:00:00+00:00,1968.915,1975.843,1968.82,1973.073,6148
2020-08-31 00:00:00+00:00,1973.011,1976.279,1954.269,1967.705,106288
2020-09-01 00:00:00+00:00,1967.778,1992.297,1962.63,1972.465,134390
2020-09-02 00:00:00+00:00,1972.496,1973.171,1932.408,1944.68,142873
2020-09-03 00:00:00+00:00,1944.693,1950.736,1921.824,1927.772,146372
2020-09-04 00:00:00+00:00,1927.73,1948.158,1916.114,1933.518,142551
2020-09-06 00:00:00+00:00,1932.511,1937.574,1932.506,1934.348,4378
2020-09-07 00:00:00+00:00,1934.349,1941.118,1924.114,1930.578,69072
2020-09-08 00:00:00+00:00,1930.577,1940.722,1906.368,1930.233,136362
2020-09-09 00:00:00+00:00,1930.198,1950.741,1919.879,1947.264,105787
2020-09-10 00:00:00+00:00,1947.368,1966.486,1941.211,1943.839,96009
2020-09-11 00:00:00+00:00,1943.722,1954.698,1936.791,1939.938,75392
2020-09-13 00:00:00+00:00,1937.168,1943.02,1937.136,1942.747,3422
2020-09-14 00:00:00+00:00,1942.75,1962.387,1939.74,1957.196,67739
2020-09-15 00:00:00+00:00,1957.187,1972.102,1948.096,1953.851,75606
2020-09-16 00:00:00+00:00,1953.712,1973.421,1949.635,1959.642,89105
2020-09-17 00:00:00+00:00,1959.75,1959.858,1932.831,1947.081,89012
2020-09-18 00:00:00+00:00,1947.082,1959.913,1944.894,1950.013,70384
2020-09-20 00:00:00+00:00,1949.641,1950.829,1946.445,1948.398,3877
2020-09-21 00:00:00+00:00,1948.398,1955.412,1882.213,1917.104,108681
2020-09-22 00:00:00+00:00,1917.115,1919.502,1894.498,1904.223,105769
2020-09-23 00:00:00+00:00,1904.211,1905.083,1853.127,1854.816,120210
2020-09-24 00:00:00+00:00,1854.816,1876.977,1848.076,1867.664,116397
2020-09-25 00:00:00+00:00,1867.544,1874.995,1851.922,1861.155,91078
2020-09-27 00:00:00+00:00,1862.899,1865.865,1860.887,1862.341,3710
2020-09-28 00:00:00+00:00,1862.376,1883.493,1848.204,1882.594,89169
2020-09-29 00:00:00+00:00,1882.546,1899.263,1875.167,1896.775,81510
2020-09-30 00:00:00+00:00,1896.76,1902.169,1881.332,1887.634,100403
2020-10-01 00:00:00+00:00,1887.621,1912.109,1884.618,1903.161,95984
